id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err
Auto_001,593.99,1501.34,593.94,1501.42,143.05965,43.73770,09h32m14.32s,+43d44m15.7s,65285.0,847993.000,1012450.830,978.819,1034.36,-15.013,0.001,8.233,0.158
Auto_002,4394.43,3133.87,4394.48,3133.94,145.23206,43.99259,09h40m55.69s,+43d59m33.3s,64374.0,809479.000,994682.747,970.922,1024.47,-14.994,0.001,8.252,0.158
Auto_003,295.83,2638.45,295.85,2638.43,143.25717,43.31059,09h33m01.72s,+43d18m38.1s,65285.0,516213.000,604342.747,757.072,798.26,-14.453,0.001,8.793,0.158
Auto_004,5016.09,1836.66,5016.09,1836.67,145.14902,44.54139,09h40m35.76s,+44d32m29.0s,64649.0,450634.000,529385.137,707.202,748.56,-14.309,0.001,8.937,0.158
Auto_005,1409.55,461.81,1409.50,461.83,143.11929,44.24256,09h32m28.63s,+44d14m33.2s,44174.0,370475.000,429491.855,639.218,671.90,-14.082,0.002,9.164,0.158
Auto_006,1652.80,2387.05,1652.80,2387.03,143.78585,43.67343,09h35m08.60s,+43d40m24.4s,56565.0,312438.000,343778.430,582.294,590.39,-13.841,0.002,9.405,0.158
Auto_007,3519.10,1891.24,3519.09,1891.26,144.48335,44.21915,09h37m56.00s,+44d13m08.9s,52790.0,272017.000,301202.467,545.420,552.24,-13.697,0.002,9.549,0.158
Auto_008,3727.34,1344.41,3727.34,1344.41,144.42103,44.43939,09h37m41.05s,+44d26m21.8s,40815.0,259450.000,294842.891,541.366,544.63,-13.674,0.002,9.572,0.158
Auto_009,4943.12,2816.19,4943.14,2816.21,145.39203,44.20693,09h41m34.09s,+44d12m24.9s,35838.0,218270.000,254473.570,515.480,493.66,-13.514,0.002,9.732,0.158
Auto_010,376.48,2254.32,376.53,2254.29,143.18184,43.45062,09h32m43.64s,+43d27m02.2s,21722.0,185319.000,217117.460,478.398,453.84,-13.342,0.002,9.904,0.158
Auto_011,4655.63,296.03,4655.69,296.04,144.54240,44.96891,09h38m10.18s,+44d58m08.1s,20490.0,168854.000,194331.080,463.820,418.98,-13.221,0.003,10.025,0.158
Auto_012,4999.77,3990.22,4999.81,3990.22,145.74370,43.83445,09h42m58.49s,+43d50m04.0s,22485.0,164858.000,193077.221,463.063,416.96,-13.214,0.003,10.032,0.158
Auto_013,3424.14,2834.21,3424.15,2834.22,144.70880,43.89315,09h38m50.11s,+43d53m35.4s,31206.0,159821.000,180897.362,435.008,415.85,-13.144,0.003,10.102,0.158
Auto_014,766.92,2908.95,766.92,2908.94,143.54243,43.32156,09h34m10.18s,+43d19m17.6s,23534.0,159495.000,178121.454,445.500,399.82,-13.127,0.003,10.119,0.158
Auto_015,2338.84,2154.78,2338.82,2154.77,144.02626,43.89059,09h36m06.30s,+43d53m26.1s,23070.0,127392.000,140734.461,404.981,347.51,-12.871,0.003,10.375,0.158
Auto_016,1086.84,2906.56,1086.82,2906.57,143.68324,43.38861,09h34m43.98s,+43d23m19.0s,17689.0,123508.000,138063.145,406.094,339.98,-12.850,0.003,10.396,0.158
Auto_017,2041.47,2632.15,2041.45,2632.17,144.02973,43.67466,09h36m07.13s,+43d40m28.8s,20191.0,115241.000,128469.430,384.809,333.85,-12.772,0.003,10.474,0.158
Auto_018,1704.17,3838.14,1704.20,3838.15,144.22217,43.21543,09h36m53.32s,+43d12m55.6s,18099.0,105621.000,118848.359,380.245,312.56,-12.687,0.003,10.559,0.158
Auto_019,3808.24,3153.57,3808.27,3153.54,144.97239,43.86742,09h39m53.37s,+43d52m02.7s,16830.0,105362.000,122077.077,384.300,317.66,-12.717,0.003,10.529,0.158
Auto_020,5586.47,1636.79,5586.48,1636.79,145.35304,44.72116,09h41m24.73s,+44d43m16.2s,14784.0,105325.000,128907.622,407.258,316.53,-12.776,0.003,10.470,0.158
Auto_021,3122.77,3441.91,3122.75,3441.88,144.74456,43.63405,09h38m58.69s,+43d38m02.6s,18105.0,103706.000,115161.821,373.958,307.95,-12.653,0.004,10.593,0.158
Auto_022,1701.81,2053.56,1701.77,2053.56,143.71180,43.79126,09h34m50.83s,+43d47m28.5s,15704.0,98106.000,109139.009,369.793,295.14,-12.595,0.004,10.651,0.158
Auto_023,2195.31,2129.56,2195.34,2129.53,143.95459,43.86905,09h35m49.10s,+43d52m08.6s,15438.0,96050.000,107598.576,371.594,289.56,-12.580,0.004,10.667,0.158
Auto_024,878.95,306.03,878.95,306.04,142.83738,44.18068,09h31m20.97s,+44d10m50.4s,11036.0,93859.000,108922.175,382.823,284.52,-12.593,0.004,10.653,0.158
Auto_025,2910.23,2510.14,2910.23,2510.15,144.38495,43.89319,09h37m32.39s,+43d53m35.5s,18325.0,90319.000,101471.422,355.032,285.81,-12.516,0.004,10.730,0.158
Auto_026,2674.51,2945.70,2674.46,2945.72,144.40285,43.70344,09h37m36.68s,+43d42m12.4s,14165.0,90221.000,101400.327,365.791,277.21,-12.515,0.004,10.731,0.158
Auto_027,3946.11,19.08,3946.13,19.07,144.13732,44.91319,09h36m32.96s,+44d54m47.5s,12051.0,88317.000,103124.137,376.015,274.26,-12.533,0.004,10.713,0.158
Auto_028,3307.20,683.90,3307.20,683.91,144.03934,44.56680,09h36m09.44s,+44d34m00.5s,14829.0,88311.000,100705.611,360.276,279.52,-12.508,0.004,10.738,0.158
Auto_029,5230.62,2075.04,5230.58,2075.07,145.31444,44.50679,09h41m15.47s,+44d30m24.4s,13464.0,85871.000,105078.307,383.173,274.23,-12.554,0.004,10.692,0.158
Auto_030,993.34,1721.31,993.35,1721.33,143.30033,43.75065,09h33m12.08s,+43d45m02.4s,11865.0,84658.000,95402.856,357.851,266.60,-12.449,0.004,10.797,0.158
Auto_031,5638.74,2195.47,5638.69,2195.48,145.53468,44.54919,09h42m08.32s,+44d32m57.1s,10422.0,83885.000,105776.443,376.272,281.12,-12.561,0.004,10.685,0.158
Auto_032,4112.93,3495.11,4112.92,3495.11,145.20574,43.81784,09h40m49.38s,+43d49m04.2s,13607.0,77602.000,88728.725,348.024,254.95,-12.370,0.004,10.876,0.158
Auto_033,3034.67,2761.18,3034.58,2761.21,144.51244,43.83721,09h38m02.99s,+43d50m14.0s,12568.0,73510.000,84409.554,341.969,246.83,-12.316,0.004,10.930,0.158
Auto_034,5701.67,398.50,5701.74,398.46,145.05230,45.14703,09h40m12.55s,+45d08m49.3s,8177.0,70761.000,93047.139,363.146,256.23,-12.422,0.004,10.824,0.158
Auto_035,4927.17,3970.21,4927.23,3970.27,145.70539,43.82648,09h42m49.29s,+43d49m35.3s,9344.0,69926.000,84687.228,354.836,238.67,-12.320,0.005,10.927,0.158
Auto_036,5866.25,3856.56,5866.22,3856.63,146.09899,44.05059,09h44m23.76s,+44d03m02.1s,8141.0,68495.000,82516.637,343.130,240.48,-12.291,0.005,10.955,0.158
Auto_037,3468.37,972.93,3468.35,972.95,144.19623,44.50656,09h36m47.09s,+44d30m23.6s,10707.0,62131.000,70986.904,325.045,218.39,-12.128,0.005,11.118,0.158
Auto_038,1688.13,3488.01,1688.15,3488.00,144.11591,43.32518,09h36m27.82s,+43d19m30.7s,9704.0,56301.000,63001.029,318.151,198.02,-11.998,0.005,11.248,0.158
Auto_039,3314.40,1562.22,3314.38,1562.25,144.29621,44.28389,09h37m11.09s,+44d17m02.0s,10201.0,55740.000,63144.095,323.937,194.93,-12.001,0.006,11.245,0.158
Auto_040,4166.90,1567.14,4166.89,1567.15,144.68494,44.45695,09h38m44.39s,+44d27m25.0s,8657.0,51360.000,58019.726,307.498,188.68,-11.909,0.006,11.337,0.158
Auto_041,1754.89,1328.43,1754.85,1328.49,143.52597,44.03620,09h34m06.23s,+44d02m10.3s,7455.0,51257.000,57533.657,315.543,182.33,-11.900,0.006,11.346,0.158
Auto_042,6068.77,2532.33,6068.83,2532.33,145.82525,44.52457,09h43m18.06s,+44d31m28.5s,5631.0,49885.000,59137.913,316.055,187.11,-11.930,0.006,11.316,0.158
Auto_043,6144.62,48.25,6144.67,48.16,145.15545,45.34896,09h40m37.31s,+45d20m56.3s,5039.0,49551.000,63959.855,330.580,193.48,-12.015,0.006,11.231,0.158
Auto_044,6209.29,358.25,6209.35,358.20,145.27434,45.26139,09h41m05.84s,+45d15m41.0s,4811.0,48596.000,60364.175,327.288,184.44,-11.952,0.006,11.294,0.158
Auto_045,3889.45,1033.43,3889.44,1033.39,144.40527,44.57350,09h37m37.26s,+44d34m24.6s,6434.0,46827.000,57624.632,305.721,188.49,-11.902,0.006,11.345,0.158
Auto_046,4179.76,966.09,4179.78,966.00,144.51822,44.65476,09h38m04.37s,+44d39m17.1s,5603.0,46672.000,56342.197,306.215,184.00,-11.877,0.006,11.369,0.158
Auto_047,21.27,340.02,21.27,340.02,142.46844,43.98839,09h29m52.42s,+43d59m18.2s,4149.0,43614.000,53545.092,310.346,172.53,-11.822,0.006,11.424,0.158
