id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err
Auto_001,610.35,2660.01,610.33,2659.94,143.05965,43.73795,09h32m14.32s,+43d44m16.6s,65271.0,878377.000,1041340.007,981.504,1060.96,-15.044,0.001,8.355,0.051
Auto_002,4411.11,1028.04,4411.14,1028.00,145.23203,43.99280,09h40m55.69s,+43d59m34.1s,65271.0,860030.000,1038374.846,981.596,1057.84,-15.041,0.001,8.359,0.051
Auto_003,4283.71,17.94,4283.75,17.76,145.45532,43.63749,09h41m49.28s,+43d38m15.0s,65271.0,832107.000,1071134.457,1007.107,1063.58,-15.075,0.001,8.325,0.051
Auto_004,312.43,1522.79,312.48,1522.86,143.25725,43.31081,09h33m01.74s,+43d18m38.9s,56079.0,510999.000,609279.418,760.989,800.64,-14.462,0.001,8.937,0.051
Auto_005,5032.55,2325.29,5032.56,2325.32,145.14900,44.54157,09h40m35.76s,+44d32m29.7s,54546.0,461111.000,543001.253,713.434,761.11,-14.337,0.001,9.062,0.051
Auto_006,1425.83,3699.66,1425.74,3699.62,143.11933,44.24280,09h32m28.64s,+44d14m34.1s,42774.0,373457.000,446255.034,643.478,693.51,-14.124,0.002,9.276,0.051
Auto_007,1669.44,1774.40,1669.42,1774.46,143.78595,43.67368,09h35m08.63s,+43d40m25.3s,40759.0,305212.000,346909.855,577.100,601.13,-13.851,0.002,9.549,0.051
Auto_008,3535.69,2270.50,3535.61,2270.50,144.48340,44.21936,09h37m56.02s,+44d13m09.7s,39007.0,272411.000,305543.393,542.897,562.80,-13.713,0.002,9.687,0.051
Auto_009,3743.82,2817.40,3743.77,2817.41,144.42105,44.43961,09h37m41.05s,+44d26m22.6s,35722.0,264671.000,298818.606,538.799,554.60,-13.689,0.002,9.711,0.051
Auto_010,4959.80,1345.77,4959.83,1345.78,145.39204,44.20712,09h41m34.09s,+44d12m25.6s,27213.0,223067.000,258059.790,515.490,500.61,-13.529,0.002,9.870,0.051
Auto_011,393.09,1906.96,393.08,1906.94,143.18193,43.45087,09h32m43.66s,+43d27m03.1s,20936.0,189467.000,219146.934,483.790,452.98,-13.352,0.002,10.048,0.051
Auto_012,4671.84,3865.90,4671.88,3865.91,144.54242,44.96910,09h38m10.18s,+44d58m08.8s,18603.0,168335.000,198379.005,462.971,428.49,-13.244,0.003,10.156,0.051
Auto_013,3440.92,1327.56,3440.83,1327.52,144.70885,43.89340,09h38m50.12s,+43d53m36.2s,21707.0,160276.000,182230.899,438.349,415.72,-13.152,0.003,10.248,0.051
Auto_014,783.62,1252.36,783.57,1252.42,143.54255,43.32179,09h34m10.21s,+43d19m18.4s,19129.0,157232.000,180921.471,448.500,403.39,-13.144,0.003,10.256,0.051
Auto_015,5016.71,171.89,5016.68,171.77,145.74372,43.83474,09h42m58.49s,+43d50m05.1s,18751.0,157165.000,197636.587,467.437,422.81,-13.240,0.003,10.160,0.051
Auto_016,2355.36,2006.89,2355.37,2006.83,144.02627,43.89085,09h36m06.30s,+43d53m27.0s,17324.0,125184.000,141193.422,397.825,354.91,-12.875,0.003,10.525,0.051
Auto_017,1103.49,1254.92,1103.47,1254.86,143.68328,43.38888,09h34m43.99s,+43d23m20.0s,14408.0,122685.000,138667.782,404.342,342.95,-12.855,0.003,10.545,0.051
Auto_018,2058.13,1529.39,2058.08,1529.37,144.02980,43.67491,09h36m07.15s,+43d40m29.7s,16263.0,115588.000,128687.558,397.577,323.68,-12.774,0.003,10.626,0.051
Auto_019,3825.04,1008.26,3824.99,1008.26,144.97241,43.86766,09h39m53.38s,+43d52m03.6s,15810.0,109926.000,123768.251,384.539,321.86,-12.732,0.003,10.668,0.051
Auto_020,5602.95,2525.31,5602.94,2525.32,145.35306,44.72140,09h41m24.73s,+44d43m17.0s,13043.0,108686.000,129700.133,400.046,324.21,-12.782,0.003,10.617,0.051
Auto_021,1721.08,323.34,1721.04,323.34,144.22225,43.21568,09h36m53.34s,+43d12m56.5s,13370.0,104816.000,117996.106,385.336,306.22,-12.680,0.004,10.720,0.051
Auto_022,3139.55,719.91,3139.53,719.83,144.74453,43.63432,09h38m58.69s,+43d38m03.6s,13221.0,99314.000,115491.532,370.691,311.56,-12.656,0.003,10.743,0.051
Auto_023,2211.90,2032.02,2211.89,2032.03,143.95466,43.86931,09h35m49.12s,+43d52m09.5s,15105.0,97453.000,107230.665,369.524,290.19,-12.576,0.004,10.824,0.051
Auto_024,1718.30,2107.99,1718.30,2107.95,143.71183,43.79152,09h34m50.84s,+43d47m29.5s,14120.0,96717.000,108357.371,375.378,288.66,-12.587,0.004,10.812,0.051
Auto_025,895.22,3855.37,895.17,3855.32,142.83740,44.18093,09h31m20.97s,+44d10m51.3s,10119.0,94152.000,112209.839,380.396,294.98,-12.625,0.004,10.774,0.051
Auto_026,5655.14,1966.63,5655.20,1966.61,145.53462,44.54939,09h42m08.31s,+44d32m57.8s,10347.0,90562.000,108557.818,374.520,289.86,-12.589,0.004,10.810,0.051
Auto_027,2691.14,1215.94,2691.15,1215.92,144.40285,43.70367,09h37m36.68s,+43d42m13.2s,13539.0,90466.000,101086.652,359.296,281.35,-12.512,0.004,10.888,0.051
Auto_028,5247.09,2086.98,5247.11,2086.96,145.31441,44.50698,09h41m15.46s,+44d30m25.1s,11767.0,90036.000,106334.711,377.149,281.94,-12.567,0.004,10.833,0.051
Auto_029,2926.93,1651.57,2926.84,1651.52,144.38500,43.89344,09h37m32.40s,+43d53m36.4s,12828.0,89751.000,101158.975,351.744,287.59,-12.513,0.004,10.887,0.051
Auto_030,3962.25,4142.77,3962.30,4142.77,144.13734,44.91336,09h36m32.96s,+44d54m48.1s,9679.0,87552.000,103848.113,360.004,288.46,-12.541,0.004,10.858,0.051
Auto_031,3323.55,3477.90,3323.52,3477.83,144.03937,44.56702,09h36m09.45s,+44d34m01.3s,10735.0,86861.000,101288.340,347.462,291.51,-12.514,0.004,10.886,0.051
Auto_032,1009.85,2440.03,1009.82,2440.06,143.30042,43.75091,09h33m12.10s,+43d45m03.3s,10830.0,84790.000,95804.768,354.449,270.29,-12.453,0.004,10.946,0.051
Auto_033,4129.66,666.67,4129.72,666.70,145.20573,43.81802,09h40m49.37s,+43d49m04.9s,9338.0,77696.000,89840.762,347.598,258.46,-12.384,0.004,11.016,0.051
Auto_034,5717.88,3763.76,5717.93,3763.67,145.05228,45.14734,09h40m12.55s,+45d08m50.4s,6816.0,74001.000,93410.406,349.128,267.55,-12.426,0.004,10.973,0.051
Auto_035,3051.14,1400.46,3051.22,1400.47,144.51239,43.83738,09h38m02.97s,+43d50m14.6s,9337.0,73623.000,83682.138,331.249,252.63,-12.307,0.004,11.093,0.051
Auto_036,5883.13,305.55,5883.06,305.47,146.09911,44.05084,09h44m23.79s,+44d03m03.0s,7341.0,70152.000,85268.141,350.405,243.34,-12.327,0.004,11.072,0.051
Auto_037,4944.01,191.75,4944.08,191.70,145.70540,43.82669,09h42m49.30s,+43d49m36.1s,7844.0,70129.000,85128.366,338.832,251.24,-12.325,0.004,11.074,0.051
Auto_038,3484.71,3188.84,3484.72,3188.85,144.19624,44.50675,09h36m47.10s,+44d30m24.3s,7846.0,62699.000,70466.498,313.203,224.99,-12.120,0.005,11.280,0.051
Auto_039,3330.88,2599.53,3330.80,2599.50,144.29623,44.28411,09h37m11.09s,+44d17m02.8s,7952.0,57055.000,64145.726,313.307,204.74,-12.018,0.005,11.382,0.051
Auto_040,1704.97,673.50,1704.91,673.48,144.11600,43.32545,09h36m27.84s,+43d19m31.6s,7081.0,56131.000,63494.074,316.685,200.50,-12.007,0.005,11.393,0.051
Auto_041,2503.18,2.19,2503.40,2.35,144.66082,43.27171,09h38m38.60s,+43d16m18.1s,28761.0,54249.000,49135.304,295.275,166.41,-11.728,0.007,11.671,0.051
Auto_042,1771.24,2833.03,1771.23,2832.98,143.52601,44.03642,09h34m06.24s,+44d02m11.1s,7044.0,52074.000,58010.233,309.623,187.36,-11.909,0.006,11.491,0.051
Auto_043,4183.31,2594.76,4183.34,2594.71,144.68490,44.45715,09h38m44.38s,+44d27m25.7s,6414.0,50507.000,58417.124,302.631,193.03,-11.916,0.006,11.483,0.051
Auto_044,3817.81,3813.46,3817.62,3813.47,144.16705,44.77735,09h36m40.09s,+44d46m38.5s,18427.0,49495.000,50317.743,279.398,180.09,-11.754,0.006,11.645,0.051
Auto_045,6085.38,1629.87,6085.42,1629.82,145.82530,44.52483,09h43m18.07s,+44d31m29.4s,5842.0,49386.000,60897.472,317.734,191.66,-11.961,0.006,11.438,0.051
Auto_046,3905.82,3128.45,3905.79,3128.45,144.40525,44.57371,09h37m37.26s,+44d34m25.4s,5941.0,47500.000,58267.376,298.300,195.33,-11.914,0.006,11.486,0.051
