id,raw_x,raw_y,refined_x,refined_y,ra_deg,dec_deg,ra_hms,dec_dms,peak_adu,dao_flux,net_flux,flux_err,snr,mag_inst,mag_inst_err,mag_calibrated,mag_calibrated_err
Auto_001,4288.57,30.53,4287.59,30.13,,,,,65002.0,1169706.000,3094334.015,2425.128,1275.95,-16.226,0.001,7.173,0.001
Auto_002,1433.27,3712.15,1433.28,3712.27,,,,,65002.0,1058540.000,1422000.102,1153.836,1232.41,-15.382,0.001,8.017,0.001
Auto_003,4414.90,1039.99,4415.27,1040.01,,,,,65002.0,1054679.000,2211188.344,1565.242,1412.68,-15.862,0.001,7.537,0.001
Auto_004,3540.86,2282.74,3541.07,2282.51,,,,,65002.0,1026516.000,1746444.946,1301.804,1341.56,-15.605,0.001,7.794,0.001
Auto_005,3749.34,2829.05,3749.46,2829.06,,,,,65002.0,1009530.000,1667666.580,1258.122,1325.52,-15.555,0.001,7.844,0.001
Auto_006,319.35,1537.28,319.24,1537.12,,,,,65002.0,990030.000,1740935.148,1349.942,1289.64,-15.602,0.001,7.797,0.001
Auto_007,617.85,2673.48,617.77,2673.51,,,,,65002.0,936232.000,1976752.977,1505.045,1313.42,-15.740,0.001,7.659,0.001
Auto_008,1675.41,1787.84,1675.51,1787.81,,,,,65002.0,882208.000,1118776.250,998.803,1120.12,-15.122,0.001,8.277,0.001
Auto_009,789.86,1266.53,789.84,1266.52,,,,,65002.0,853390.000,1066438.600,971.982,1097.18,-15.070,0.001,8.329,0.001
Auto_010,4963.57,1357.42,4963.77,1357.33,,,,,65002.0,846802.000,1234100.541,1069.120,1154.31,-15.228,0.001,8.171,0.001
Auto_011,5036.77,2336.34,5036.93,2336.35,,,,,65002.0,824447.000,1220924.115,1062.570,1149.03,-15.217,0.001,8.182,0.001
Auto_012,400.18,1921.05,400.18,1921.06,,,,,65002.0,589292.000,703220.977,790.161,889.97,-14.618,0.001,8.781,0.001
Auto_013,4677.32,3876.28,4677.46,3876.36,,,,,48475.0,475848.000,641799.424,758.558,846.08,-14.518,0.001,8.881,0.001
Auto_014,5019.64,184.16,5019.77,184.03,,,,,35171.0,410983.000,595802.890,735.180,810.42,-14.438,0.001,8.961,0.001
Auto_015,2217.71,2044.96,2217.79,2044.95,,,,,34968.0,393448.000,492269.895,663.428,742.01,-14.231,0.001,9.168,0.001
Auto_016,3829.24,1020.77,3829.37,1020.70,,,,,34984.0,392006.000,538863.073,693.218,777.34,-14.329,0.001,9.070,0.001
Auto_017,3445.45,1340.05,3445.60,1340.04,,,,,33519.0,380239.000,523548.305,684.516,764.84,-14.297,0.001,9.102,0.001
Auto_018,2063.75,1542.65,2063.81,1542.62,,,,,31129.0,353021.000,449415.080,631.496,711.67,-14.132,0.002,9.267,0.002
Auto_019,5606.88,2535.88,5607.06,2535.89,,,,,28239.0,321951.000,429654.593,628.746,683.35,-14.083,0.002,9.316,0.002
Auto_020,1109.68,1268.90,1109.69,1268.86,,,,,32870.0,317418.000,388758.320,592.285,656.37,-13.974,0.002,9.425,0.002
Auto_021,3329.65,3489.29,3329.75,3489.33,,,,,26907.0,295317.000,376672.204,585.327,643.52,-13.940,0.002,9.459,0.002
Auto_022,2696.24,1228.96,2696.32,1228.93,,,,,24830.0,280795.000,366956.445,577.659,635.25,-13.912,0.002,9.487,0.002
Auto_023,2361.15,2019.69,2361.23,2019.69,,,,,24686.0,276636.000,355223.170,568.878,624.43,-13.876,0.002,9.523,0.002
Auto_024,1726.37,337.47,1726.32,337.47,,,,,23376.0,259039.000,337723.212,558.058,605.18,-13.821,0.002,9.578,0.002
