AUID,RA,Dec,V,B-V
000-BJS-555,09:37:32.56 [144.38566589°],43:53:37.5 [43.89374924°],10.190 (0.016),0.649 (0.023)
000-BJS-556,09:37:11.06 [144.29608154°],44:17:01.1 [44.283638°],10.468 (0.030),0.897 (0.045)
000-BJS-557,09:37:28.47 [144.36862183°],44:01:17.3 [44.02147293°],11.312 (0.015),0.589 (0.022)
000-BJS-558,09:37:17.19 [144.32162476°],43:56:40.0 [43.94444275°],11.905 (0.026),0.955 (0.040)
000-BJS-559,09:37:11.94 [144.29974365°],43:58:20.9 [43.97247314°],11.978 (0.016),1.070 (0.024)
000-BJS-560,09:37:50.64 [144.46099854°],44:10:28.5 [44.17458344°],12.348 (0.015),0.967 (0.021)
000-BJS-561,09:37:49.83 [144.45762634°],44:09:37.5 [44.16041565°],12.539 (0.018),0.522 (0.028)
000-BJS-562,09:35:28.51 [143.86878967°],43:55:43.4 [43.92872238°],12.835 (0.019),0.584 (0.028)
000-BJS-564,09:36:20.44 [144.0851593°],44:05:42.6 [44.09516525°],13.252 (0.033),0.628 (0.051)
000-BJS-565,09:37:45.38 [144.43908691°],44:07:39.3 [44.12758255°],13.820 (0.019),0.880 (0.034)
